번호,시군구 코드,발생 건수
1,11110,141739
2,11140,179149
3,11170,243647
4,11200,393977
5,11215,546300
6,11230,462216
7,11260,610246
8,11290,532714
9,11305,539049
10,11320,508062
11,11350,735339
12,11380,842644
13,11410,476747
14,11440,411848
15,11470,471326
16,11500,720018
17,11530,462783
18,11545,239741
19,11560,492414
20,11590,459677
21,11620,565051
22,11650,457384
23,11680,585458
24,11710,730781
25,11740,461442
26,26110,42218
27,26140,123644
28,26170,129147
29,26200,191507
30,26230,630283
31,26260,370799
32,26290,360080
33,26320,533316
34,26350,498314
35,26380,532099
36,26410,307321
37,26440,154610
38,26470,282640
39,26500,230987
40,26530,264471
41,26710,179809
42,27110,101215
43,27140,584820
44,27170,319389
45,27200,209409
46,27230,698484
47,27260,587482
48,27290,835544
49,27710,357661
50,28110,110950
51,28140,103101
52,28170,480121
53,28185,431522
54,28200,671394
55,28237,909104
56,28245,494059
57,28260,784763
58,28710,132555
59,28720,15467
60,29110,224962
61,29140,469753
62,29155,411377
63,29170,900688
64,29200,654662
65,30110,294381
66,30140,297673
67,30170,715501
68,30200,513136
69,30230,280070
70,31110,357350
71,31140,488283
72,31170,211015
73,31200,381210
74,31710,373630
75,36110,509041
76,41111,413333
77,41113,491200
78,41115,271905
79,41117,407298
80,41131,389645
81,41133,327696
82,41135,538056
83,41150,480271
84,41171,286057
85,41173,478186
86,41190,685807
87,41195,226782
88,41197,125436
89,41199,111393
90,41210,428315
91,41220,769713
92,41250,180236
93,41271,479727
94,41273,424506
95,41281,655615
96,41285,279607
97,41287,327554
98,41290,66243
99,41310,258717
100,41360,788864
101,41370,291692
102,41390,472557
103,41410,311273
104,41430,233500
105,41450,279346
106,41461,288631
107,41463,431566
108,41465,449784
109,41480,690641
110,41500,228419
111,41550,326574
112,41570,655726
113,41590,819583
114,41610,475861
115,41630,283316
116,41650,227891
117,41670,110474
118,41800,82038
119,41820,89840
120,41830,115396
121,42110,370601
122,42130,394039
123,42150,199887
124,42170,115618
125,42190,51634
126,42210,170337
127,42230,143767
128,42720,99547
129,42730,47011
130,42750,57747
131,42760,46149
132,42770,33198
133,42780,70046
134,42790,37727
135,42800,23043
136,42810,55666
137,42820,54238
138,42830,35441
139,43111,356450
140,43112,324597
141,43113,386710
142,43114,336044
143,43130,324103
144,43150,268658
145,43710,21267
146,43720,63094
147,43730,102625
148,43740,90106
149,43745,58017
150,43750,158408
151,43760,44209
152,43770,147509
153,43800,39144
154,44131,403404
155,44133,546558
156,44150,247271
157,44180,310319
158,44200,539924
159,44210,185813
160,44230,214617
161,44250,49869
162,44270,381815
163,44710,73496
164,44760,127943
165,44770,74004
166,44790,53143
167,44800,159737
168,44810,161802
169,44825,280416
170,45111,507722
171,45113,445777
172,45130,413720
173,45140,760714
174,45180,318561
175,45190,124400
176,45210,168031
177,45710,193495
178,45720,46024
179,45730,64850
180,45740,38513
181,45750,57461
182,45770,62679
183,45790,131827
184,45800,124600
185,46110,466850
186,46130,472714
187,46150,586653
188,46170,192257
189,46230,191864
190,46710,132915
191,46720,50162
192,46730,33755
193,46770,214890
194,46780,92836
195,46790,116862
196,46800,125477
197,46810,80598
198,46820,185122
199,46830,183275
200,46840,194304
201,46860,83701
202,46870,154360
203,46880,106930
204,46890,136607
205,46900,80228
206,46910,67195
207,47111,392913
208,47113,386511
209,47130,530367
210,47150,179140
211,47170,230798
212,47190,552732
213,47210,133551
214,47230,238656
215,47250,207577
216,47280,122315
217,47290,612523
218,47720,44376
219,47730,122718
220,47750,32001
221,47760,26346
222,47770,119769
223,47820,92586
224,47830,42316
225,47840,63402
226,47850,167652
227,47900,65731
228,47920,55980
229,47930,51592
230,47940,6195
231,48121,474270
232,48123,271228
233,48125,279002
234,48127,274910
235,48129,309601
236,48170,561136
237,48220,273292
238,48240,218031
239,48250,793075
240,48270,205488
241,48310,379486
242,48330,436179
243,48720,75890
244,48730,93695
245,48740,118278
246,48820,113036
247,48840,104214
248,48850,95747
249,48860,48180
250,48870,123524
251,48880,135788
252,48890,101763
253,49110,710990
254,49130,340589
255,49710,45
256,49720,81
