"","시군구","천식발생건수"
"1",11110,147011
"2",11140,184913
"3",11170,251457
"4",11200,406587
"5",11215,563346
"6",11230,478796
"7",11260,629887
"8",11290,548856
"9",11305,553637
"10",11320,529368
"11",11350,758849
"12",11380,873969
"13",11410,493628
"14",11440,426085
"15",11470,488510
"16",11500,742945
"17",11530,479088
"18",11545,247609
"19",11560,506661
"20",11590,478259
"21",11620,582183
"22",11650,473936
"23",11680,608073
"24",11710,755179
"25",11740,479681
"26",26110,43991
"27",26140,127691
"28",26170,134410
"29",26200,199713
"30",26230,650799
"31",26260,384543
"32",26290,370441
"33",26320,553214
"34",26350,514214
"35",26380,547440
"36",26410,317969
"37",26440,161751
"38",26470,295023
"39",26500,238266
"40",26530,273800
"41",26710,186398
"42",27110,104851
"43",27140,601701
"44",27170,329652
"45",27200,216304
"46",27230,717450
"47",27260,607292
"48",27290,863613
"49",27710,371209
"50",28110,116016
"51",28140,106279
"52",28170,480122
"53",28185,448593
"54",28200,694941
"55",28237,937127
"56",28245,507765
"57",28260,810665
"58",28710,137304
"59",28720,16000
"60",29110,232714
"61",29140,482829
"62",29155,426151
"63",29170,928192
"64",29200,673291
"65",30110,304409
"66",30140,308344
"67",30170,739072
"68",30200,534753
"69",30230,288716
"70",31110,367466
"71",31140,504266
"72",31170,217144
"73",31200,400671
"74",31710,384920
"75",36110,532907
"76",41111,424161
"77",41113,510038
"78",41115,282000
"79",41117,422320
"80",41131,399954
"81",41133,337136
"82",41135,555304
"83",41150,496001
"84",41171,294516
"85",41173,492652
"86",41190,729754
"87",41195,226782
"88",41197,125436
"89",41199,111393
"90",41210,442158
"91",41220,800259
"92",41250,184267
"93",41271,494598
"94",41273,440204
"95",41281,678332
"96",41285,291002
"97",41287,342363
"98",41290,68351
"99",41310,267009
"100",41360,822953
"101",41370,300337
"102",41390,491359
"103",41410,321809
"104",41430,240114
"105",41450,295300
"106",41461,300511
"107",41463,447353
"108",41465,464224
"109",41480,721409
"110",41500,236279
"111",41550,339906
"112",41570,687930
"113",41590,857810
"114",41610,494330
"115",41630,294417
"116",41650,235658
"117",41670,113914
"118",41800,84580
"119",41820,93950
"120",41830,121211
"121",42110,387983
"122",42130,410659
"123",42150,207561
"124",42170,119023
"125",42190,52991
"126",42210,178491
"127",42230,146407
"128",42720,102933
"129",42730,48897
"130",42750,59419
"131",42760,47862
"132",42770,34360
"133",42780,72889
"134",42790,39157
"135",42800,23986
"136",42810,60225
"137",42820,56295
"138",42830,36806
"139",43111,370695
"140",43112,335945
"141",43113,399315
"142",43114,348255
"143",43130,335829
"144",43150,275760
"145",43710,21267
"146",43720,66494
"147",43730,105934
"148",43740,93093
"149",43745,59600
"150",43750,161948
"151",43760,45671
"152",43770,151878
"153",43800,40520
"154",44131,417544
"155",44133,570833
"156",44150,256777
"157",44180,318724
"158",44200,564362
"159",44210,192777
"160",44230,221657
"161",44250,51406
"162",44270,402606
"163",44710,75624
"164",44760,131660
"165",44770,76828
"166",44790,54662
"167",44800,165811
"168",44810,167696
"169",44825,286936
"170",45111,524913
"171",45113,464947
"172",45130,428238
"173",45140,789750
"174",45180,328462
"175",45190,129106
"176",45210,173660
"177",45710,200411
"178",45720,47618
"179",45730,67528
"180",45740,40295
"181",45750,59417
"182",45770,64777
"183",45790,135671
"184",45800,129187
"185",46110,483227
"186",46130,487054
"187",46150,615677
"188",46170,200928
"189",46230,197863
"190",46710,137206
"191",46720,52050
"192",46730,35145
"193",46770,222909
"194",46780,95631
"195",46790,121200
"196",46800,130377
"197",46810,83427
"198",46820,192743
"199",46830,189105
"200",46840,205510
"201",46860,85836
"202",46870,159221
"203",46880,109950
"204",46890,140517
"205",46900,84148
"206",46910,69910
"207",47111,407519
"208",47113,399615
"209",47130,549754
"210",47150,185399
"211",47170,239417
"212",47190,569287
"213",47210,138124
"214",47230,244085
"215",47250,215593
"216",47280,125815
"217",47290,628630
"218",47720,45681
"219",47730,127127
"220",47750,33568
"221",47760,27245
"222",47770,123059
"223",47820,95187
"224",47830,43705
"225",47840,65630
"226",47850,172497
"227",47900,68743
"228",47920,57815
"229",47930,53285
"230",47940,6381
"231",48121,487796
"232",48123,282812
"233",48125,285873
"234",48127,281822
"235",48129,323043
"236",48170,581678
"237",48220,281257
"238",48240,224139
"239",48250,822449
"240",48270,211474
"241",48310,389771
"242",48330,450501
"243",48720,78111
"244",48730,96202
"245",48740,121461
"246",48820,116868
"247",48840,106595
"248",48850,98810
"249",48860,50441
"250",48870,126525
"251",48880,140619
"252",48890,105239
"253",49110,736614
"254",49130,351371
"255",49710,45
"256",49720,81
