year,month,count
2018,1,36000
2018,2,26618
2018,3,30607
2018,4,33048
2018,5,30552
2018,6,22920
2018,7,19072
2018,8,18223
2018,9,25897
2018,10,32871
2018,11,36896
2018,12,35881
2019,1,30125
2019,2,21095
2019,3,27407
2019,4,33343
2019,5,30085
2019,6,22040
2019,7,20379
2019,8,18072
2019,9,24083
2019,10,30607
2019,11,30896
2019,12,30349
2020,1,27503
2020,2,19907
2020,3,15682
2020,4,13650
2020,5,14033
2020,6,13511
2020,7,11755
2020,8,10023
2020,9,12371
2020,10,13478
2020,11,14252
2020,12,12491
2021,1,9797
2021,2,9021
2021,3,11852
2021,4,12763
2021,5,11109
2021,6,10565
2021,7,9497
2021,8,8710
2021,9,11749
2021,10,14890
2021,11,14421
2021,12,13821
2022,1,16248
2022,2,10508
2022,3,13650
2022,4,14621
2022,5,12337
2022,6,12703
2022,7,12001
2022,8,11488
2022,9,15185
2022,10,15941
