번호,시군구 코드,발생 건수
1,11110,2454248
2,11140,2321198
3,11170,3920916
4,11200,5947821
5,11215,6894881
6,11230,6586290
7,11260,8037180
8,11290,8710149
9,11305,6107315
10,11320,6441315
11,11350,11190965
12,11380,9572179
13,11410,5865756
14,11440,7469094
15,11470,9531728
16,11500,12744018
17,11530,9056167
18,11545,4629659
19,11560,7623601
20,11590,7493429
21,11620,9229870
22,11650,8052302
23,11680,9767734
24,11710,13375127
25,11740,8815431
26,26110,792101
27,26140,2110744
28,26170,1695078
29,26200,2564398
30,26230,7644203
31,26260,5290751
32,26290,5766083
33,26320,5882962
34,26350,8617458
35,26380,7197788
36,26410,4827308
37,26440,3162728
38,26470,4426387
39,26500,3295707
40,26530,4896411
41,26710,4216909
42,27110,1413876
43,27140,7333140
44,27170,3522832
45,27200,2650810
46,27230,9230866
47,27260,8097578
48,27290,11949789
49,27710,6020386
50,28110,2425497
51,28140,1405510
52,28170,5245321
53,28185,7288003
54,28200,11625622
55,28237,10536496
56,28245,6239937
57,28260,11779335
58,28710,1033663
59,28720,320728
60,29110,1833924
61,29140,6339106
62,29155,4405696
63,29170,9045336
64,29200,9427437
65,30110,5620435
66,30140,5392619
67,30170,11155025
68,30200,8345072
69,30230,4524548
70,31110,4959122
71,31140,7082009
72,31170,4215846
73,31200,5366487
74,31710,5050269
75,36110,7328740
76,41111,6032329
77,41113,8443464
78,41115,3666109
79,41117,7927056
80,41131,4769430
81,41133,4875332
82,41135,9149781
83,41150,9645106
84,41171,4842130
85,41173,7169114
86,41190,11900433
87,41195,2703034
88,41197,1463931
89,41199,1285197
90,41210,7670157
91,41220,11013251
92,41250,2105413
93,41271,7357073
94,41273,6940916
95,41281,9487408
96,41285,5207583
97,41287,6052676
98,41290,1191674
99,41310,4090807
100,41360,15176763
101,41370,5942062
102,41390,10361604
103,41410,6418867
104,41430,3419258
105,41450,5428841
106,41461,4852107
107,41463,9112401
108,41465,7911015
109,41480,9626074
110,41500,4256054
111,41550,3917878
112,41570,10348605
113,41590,18607490
114,41610,7387390
115,41630,4708882
116,41650,2746500
117,41670,2274375
118,41800,795664
119,41820,991339
120,41830,1911469
121,42110,4689716
122,42130,6744977
123,42150,3272272
124,42170,1867821
125,42190,825151
126,42210,1576180
127,42230,1359786
128,42720,1200373
129,42730,758940
130,42750,620742
131,42760,632674
132,42770,583134
133,42780,858630
134,42790,489091
135,42800,480457
136,42810,522691
137,42820,478522
138,42830,456337
139,43111,3958685
140,43112,4430578
141,43113,6147120
142,43114,4380418
143,43130,3778303
144,43150,2134510
145,43710,228543
146,43720,593775
147,43730,1212924
148,43740,1013293
149,43745,859002
150,43750,1635618
151,43760,628680
152,43770,2013067
153,43800,432517
154,44131,5399771
155,44133,8611528
156,44150,1923433
157,44180,2075457
158,44200,7981581
159,44210,3165400
160,44230,2609383
161,44250,1057123
162,44270,3481479
163,44710,1134168
164,44730,1301
165,44760,1303372
166,44770,1104689
167,44790,583373
168,44800,1923616
169,44810,1315039
170,44825,1431326
171,45111,7456735
172,45113,7209078
173,45130,6765753
174,45140,6289750
175,45180,2366984
176,45190,1581599
177,45210,1771795
178,45710,2263594
179,45720,554656
180,45730,453452
181,45740,503538
182,45750,578843
183,45770,591242
184,45790,1160321
185,45800,1016085
186,46110,5313061
187,46130,6533112
188,46150,5596469
189,46170,2365595
190,46230,3193724
191,46710,840503
192,46720,588024
193,46730,508619
194,46770,1225068
195,46780,798213
196,46790,1164505
197,46800,789105
198,46810,657299
199,46820,1580062
200,46830,1288009
201,46840,1943698
202,46860,620699
203,46870,1248728
204,46880,899514
205,46890,1140131
206,46900,674194
207,46910,765976
208,47111,5090982
209,47113,5540615
210,47130,4602527
211,47150,2635350
212,47170,2699598
213,47190,9196204
214,47210,1855614
215,47230,1836181
216,47250,1552838
217,47280,1538638
218,47290,5549796
219,47720,407363
220,47730,851657
221,47750,361195
222,47760,238682
223,47770,704217
224,47820,777252
225,47830,613718
226,47840,865805
227,47850,2623866
228,47900,853991
229,47920,506188
230,47930,935711
231,47940,107399
232,48121,5021127
233,48123,4221965
234,48125,3277744
235,48127,3901086
236,48129,4097571
237,48170,6135021
238,48220,3029226
239,48240,2338933
240,48250,12496104
241,48270,1976297
242,48310,6094877
243,48330,7920775
244,48720,543362
245,48730,1303739
246,48740,1218136
247,48820,950511
248,48840,822904
249,48850,806933
250,48860,594514
251,48870,791874
252,48880,1092789
253,48890,882751
254,49110,10337420
255,49130,4017093
256,49710,713
257,49720,679
