"","시군구","감기발생건수"
"1",11110,2554618
"2",11140,2423305
"3",11170,4101823
"4",11200,6212102
"5",11215,7196435
"6",11230,6880426
"7",11260,8379306
"8",11290,9113065
"9",11305,6347377
"10",11320,6690971
"11",11350,11664275
"12",11380,9997050
"13",11410,6141186
"14",11440,7812209
"15",11470,9971147
"16",11500,13315802
"17",11530,9469881
"18",11545,4839761
"19",11560,7988510
"20",11590,7818026
"21",11620,9613922
"22",11650,8418807
"23",11680,10219771
"24",11710,14069877
"25",11740,9290825
"26",26110,820107
"27",26140,2192702
"28",26170,1763861
"29",26200,2661633
"30",26230,7953698
"31",26260,5539503
"32",26290,5991512
"33",26320,6126973
"34",26350,8976533
"35",26380,7473359
"36",26410,5010700
"37",26440,3370220
"38",26470,4620988
"39",26500,3426029
"40",26530,5080909
"41",26710,4425311
"42",27110,1484115
"43",27140,7654700
"44",27170,3647841
"45",27200,2756390
"46",27230,9626496
"47",27260,8460335
"48",27290,12452272
"49",27710,6361105
"50",28110,2568744
"51",28140,1455315
"52",28170,5245342
"53",28185,7745530
"54",28200,12132004
"55",28237,10995564
"56",28245,6500228
"57",28260,12438607
"58",28710,1081121
"59",28720,332906
"60",29110,1938937
"61",29140,6607208
"62",29155,4611105
"63",29170,9483103
"64",29200,9862229
"65",30110,5854119
"66",30140,5616833
"67",30170,11694336
"68",30200,8793661
"69",30230,4722686
"70",31110,5147142
"71",31140,7371883
"72",31170,4370657
"73",31200,5627807
"74",31710,5271230
"75",36110,7883735
"76",41111,6329909
"77",41113,8908681
"78",41115,3848532
"79",41117,8345182
"80",41131,5002421
"81",41133,5070938
"82",41135,9583944
"83",41150,10129228
"84",41171,5063203
"85",41173,7504893
"86",41190,12681072
"87",41195,2703034
"88",41197,1463931
"89",41199,1285197
"90",41210,7988170
"91",41220,11675270
"92",41250,2196173
"93",41271,7687381
"94",41273,7292113
"95",41281,10003686
"96",41285,5478736
"97",41287,6346747
"98",41290,1270376
"99",41310,4283358
"100",41360,15974614
"101",41370,6223604
"102",41390,11015829
"103",41410,6695947
"104",41430,3589192
"105",41450,5829723
"106",41461,5109362
"107",41463,9543375
"108",41465,8328773
"109",41480,10167817
"110",41500,4471392
"111",41550,4115269
"112",41570,10996196
"113",41590,19803267
"114",41610,7791642
"115",41630,4975625
"116",41650,2868924
"117",41670,2386390
"118",41800,830774
"119",41820,1038648
"120",41830,1995018
"121",42110,4934141
"122",42130,7099555
"123",42150,3417151
"124",42170,1956110
"125",42190,855476
"126",42210,1649995
"127",42230,1417428
"128",42720,1246739
"129",42730,791473
"130",42750,644578
"131",42760,661723
"132",42770,603584
"133",42780,900723
"134",42790,511884
"135",42800,504024
"136",42810,554175
"137",42820,501869
"138",42830,475055
"139",43111,4168826
"140",43112,4621632
"141",43113,6461641
"142",43114,4612311
"143",43130,3961977
"144",43150,2230540
"145",43710,228543
"146",43720,616701
"147",43730,1273158
"148",43740,1054298
"149",43745,900719
"150",43750,1736933
"151",43760,651858
"152",43770,2104281
"153",43800,450083
"154",44131,5649439
"155",44133,9076386
"156",44150,1999724
"157",44180,2165011
"158",44200,8376294
"159",44210,3322567
"160",44230,2729330
"161",44250,1106148
"162",44270,3623544
"163",44710,1175728
"164",44730,1301
"165",44760,1351016
"166",44770,1152838
"167",44790,605171
"168",44800,2015855
"169",44810,1370351
"170",44825,1485196
"171",45111,7792396
"172",45113,7580748
"173",45130,7059521
"174",45140,6563216
"175",45180,2464697
"176",45190,1651217
"177",45210,1847142
"178",45710,2353037
"179",45720,574849
"180",45730,471413
"181",45740,525794
"182",45750,602508
"183",45770,614076
"184",45790,1204342
"185",45800,1054153
"186",46110,5553883
"187",46130,6797732
"188",46150,5855642
"189",46170,2486211
"190",46230,3344886
"191",46710,877203
"192",46720,608775
"193",46730,528945
"194",46770,1266636
"195",46780,823639
"196",46790,1215260
"197",46800,818673
"198",46810,685533
"199",46820,1641624
"200",46830,1339190
"201",46840,2055651
"202",46860,648293
"203",46870,1307728
"204",46880,935295
"205",46890,1186996
"206",46900,702665
"207",46910,799840
"208",47111,5305834
"209",47113,5794365
"210",47130,4814808
"211",47150,2751613
"212",47170,2829169
"213",47190,9597960
"214",47210,1928622
"215",47230,1921895
"216",47250,1623974
"217",47280,1609177
"218",47290,5805976
"219",47720,421744
"220",47730,883349
"221",47750,375800
"222",47760,245626
"223",47770,735671
"224",47820,806326
"225",47830,635760
"226",47840,900293
"227",47850,2724540
"228",47900,895152
"229",47920,523232
"230",47930,972165
"231",47940,110667
"232",48121,5219357
"233",48123,4432214
"234",48125,3421002
"235",48127,4047519
"236",48129,4292490
"237",48170,6417498
"238",48220,3142058
"239",48240,2435536
"240",48250,13049228
"241",48270,2059877
"242",48310,6337357
"243",48330,8293768
"244",48720,569469
"245",48730,1350683
"246",48740,1266402
"247",48820,983591
"248",48840,851916
"249",48850,834844
"250",48860,617325
"251",48870,821343
"252",48880,1140934
"253",48890,914563
"254",49110,10822698
"255",49130,4197644
"256",49710,713
"257",49720,679
