번호,시군구 코드,발생 건수
1,11110,367659
2,11140,367912
3,11170,566028
4,11200,1005360
5,11215,1034310
6,11230,1063052
7,11260,1128174
8,11290,1146620
9,11305,867696
10,11320,741182
11,11350,1492403
12,11380,1616234
13,11410,904287
14,11440,972173
15,11470,1163768
16,11500,1613651
17,11530,1070781
18,11545,682245
19,11560,945938
20,11590,1127131
21,11620,1435502
22,11650,1082647
23,11680,1383543
24,11710,1785069
25,11740,1130683
26,26110,116832
27,26140,365141
28,26170,331485
29,26200,396233
30,26230,1009480
31,26260,748548
32,26290,824478
33,26320,760073
34,26350,1218624
35,26380,822539
36,26410,728691
37,26440,299097
38,26470,669037
39,26500,512366
40,26530,653977
41,26710,497625
42,27110,267192
43,27140,1144051
44,27170,554263
45,27200,527752
46,27230,1362833
47,27260,1456506
48,27290,1743480
49,27710,711116
50,28110,281895
51,28140,193518
52,28170,618484
53,28185,906875
54,28200,1833447
55,28237,1531385
56,28245,1078450
57,28260,1486624
58,28710,125948
59,28720,34551
60,29110,306233
61,29140,832100
62,29155,591342
63,29170,1282086
64,29200,1189861
65,30110,843861
66,30140,852539
67,30170,1481793
68,30200,918217
69,30230,528450
70,31110,560311
71,31140,885043
72,31170,527567
73,31200,482151
74,31710,620971
75,36110,785594
76,41111,712960
77,41113,934661
78,41115,505496
79,41117,941062
80,41131,662316
81,41133,739804
82,41135,1209170
83,41150,1146468
84,41171,705883
85,41173,784079
86,41190,1708279
87,41195,409505
88,41197,192015
89,41199,134568
90,41210,900183
91,41220,1212751
92,41250,223336
93,41271,729064
94,41273,831491
95,41281,1128597
96,41285,700516
97,41287,921976
98,41290,134677
99,41310,671273
100,41360,1924891
101,41370,599877
102,41390,1159155
103,41410,631138
104,41430,387991
105,41450,827503
106,41461,635599
107,41463,995610
108,41465,939540
109,41480,1243655
110,41500,468560
111,41550,598771
112,41570,1057158
113,41590,1740031
114,41610,901839
115,41630,565207
116,41650,375772
117,41670,247837
118,41800,167927
119,41820,146379
120,41830,321262
121,42110,597968
122,42130,1059999
123,42150,452858
124,42170,226687
125,42190,276125
126,42210,302807
127,42230,282266
128,42720,164010
129,42730,119831
130,42750,164153
131,42760,98621
132,42770,131244
133,42780,122148
134,42790,72211
135,42800,41852
136,42810,57850
137,42820,101966
138,42830,80841
139,43111,568857
140,43112,582716
141,43113,759526
142,43114,529679
143,43130,602562
144,43150,448833
145,43710,27506
146,43720,84244
147,43730,230547
148,43740,143055
149,43745,74643
150,43750,257780
151,43760,106750
152,43770,346150
153,43800,84609
154,44131,600186
155,44133,825946
156,44150,356766
157,44180,474119
158,44200,748322
159,44210,372679
160,44230,466759
161,44250,116651
162,44270,495969
163,44710,227982
164,44730,270
165,44760,285056
166,44770,273623
167,44790,114510
168,44800,340943
169,44810,233016
170,44825,212948
171,45111,917718
172,45113,795628
173,45130,701393
174,45140,935049
175,45180,353265
176,45190,248143
177,45210,248403
178,45710,296373
179,45720,77017
180,45730,84829
181,45740,76992
182,45750,95493
183,45770,115192
184,45790,216607
185,45800,274268
186,46110,661693
187,46130,1252631
188,46150,746266
189,46170,425049
190,46230,466748
191,46710,189717
192,46720,103246
193,46730,89253
194,46770,223344
195,46780,148329
196,46790,161953
197,46800,146024
198,46810,105986
199,46820,371739
200,46830,223137
201,46840,325403
202,46860,119024
203,46870,269645
204,46880,137765
205,46890,200039
206,46900,131078
207,46910,129632
208,47111,674985
209,47113,852654
210,47130,785370
211,47150,393171
212,47170,521157
213,47190,1216916
214,47210,394813
215,47230,389449
216,47250,309590
217,47280,275730
218,47290,769410
219,47720,70440
220,47730,142086
221,47750,71817
222,47760,41863
223,47770,141949
224,47820,139160
225,47830,105654
226,47840,134222
227,47850,338225
228,47900,133544
229,47920,93304
230,47930,148613
231,47940,15690
232,48121,806360
233,48123,665183
234,48125,562987
235,48127,626360
236,48129,663992
237,48170,1101548
238,48220,422200
239,48240,294404
240,48250,1529700
241,48270,352092
242,48310,658730
243,48330,1101561
244,48720,127680
245,48730,233788
246,48740,206910
247,48820,185154
248,48840,201971
249,48850,195277
250,48860,128219
251,48870,136134
252,48880,213129
253,48890,170585
254,49110,1309400
255,49130,477438
256,49710,103
257,49720,92
