"","시군구","피부염발생건수"
"1",11110,389220
"2",11140,390014
"3",11170,600013
"4",11200,1064943
"5",11215,1095257
"6",11230,1127937
"7",11260,1196897
"8",11290,1216407
"9",11305,912887
"10",11320,785814
"11",11350,1580621
"12",11380,1716804
"13",11410,962361
"14",11440,1030041
"15",11470,1230911
"16",11500,1712241
"17",11530,1138291
"18",11545,726455
"19",11560,1007930
"20",11590,1199760
"21",11620,1526110
"22",11650,1147341
"23",11680,1471694
"24",11710,1894313
"25",11740,1203971
"26",26110,124345
"27",26140,386473
"28",26170,351177
"29",26200,418412
"30",26230,1074341
"31",26260,802420
"32",26290,878076
"33",26320,809306
"34",26350,1301491
"35",26380,871222
"36",26410,776556
"37",26440,323673
"38",26470,717007
"39",26500,547607
"40",26530,689907
"41",26710,531073
"42",27110,282761
"43",27140,1214985
"44",27170,583666
"45",27200,558031
"46",27230,1443461
"47",27260,1541179
"48",27290,1843713
"49",27710,756952
"50",28110,304353
"51",28140,203946
"52",28170,618497
"53",28185,977313
"54",28200,1945447
"55",28237,1621059
"56",28245,1137629
"57",28260,1588028
"58",28710,134880
"59",28720,36930
"60",29110,325650
"61",29140,881024
"62",29155,628084
"63",29170,1361968
"64",29200,1259068
"65",30110,891533
"66",30140,899641
"67",30170,1571784
"68",30200,976934
"69",30230,558365
"70",31110,592656
"71",31140,938117
"72",31170,559505
"73",31200,515971
"74",31710,660786
"75",36110,857508
"76",41111,756615
"77",41113,994068
"78",41115,536170
"79",41117,1005302
"80",41131,704335
"81",41133,780421
"82",41135,1287017
"83",41150,1218822
"84",41171,744550
"85",41173,833794
"86",41190,1852374
"87",41195,409505
"88",41197,192015
"89",41199,134568
"90",41210,951158
"91",41220,1296850
"92",41250,236602
"93",41271,772422
"94",41273,881926
"95",41281,1199090
"96",41285,744852
"97",41287,977224
"98",41290,147647
"99",41310,708647
"100",41360,2043492
"101",41370,635178
"102",41390,1252124
"103",41410,669355
"104",41430,414942
"105",41450,890604
"106",41461,678316
"107",41463,1061505
"108",41465,1000601
"109",41480,1323325
"110",41500,497251
"111",41550,634137
"112",41570,1137065
"113",41590,1878525
"114",41610,966010
"115",41630,605830
"116",41650,399541
"117",41670,261898
"118",41800,176844
"119",41820,154610
"120",41830,343080
"121",42110,633222
"122",42130,1121021
"123",42150,480796
"124",42170,238903
"125",42190,291732
"126",42210,319367
"127",42230,297698
"128",42720,172545
"129",42730,126512
"130",42750,173201
"131",42760,105075
"132",42770,138659
"133",42780,129158
"134",42790,76292
"135",42800,44719
"136",42810,61593
"137",42820,108074
"138",42830,86007
"139",43111,604462
"140",43112,619618
"141",43113,805881
"142",43114,565448
"143",43130,639103
"144",43150,474966
"145",43710,27506
"146",43720,89263
"147",43730,243470
"148",43740,152955
"149",43745,79053
"150",43750,278526
"151",43760,112447
"152",43770,365611
"153",43800,89461
"154",44131,634973
"155",44133,880112
"156",44150,377788
"157",44180,501015
"158",44200,795997
"159",44210,397455
"160",44230,491734
"161",44250,123672
"162",44270,527145
"163",44710,239582
"164",44730,270
"165",44760,300214
"166",44770,290774
"167",44790,122340
"168",44800,367992
"169",44810,247526
"170",44825,228033
"171",45111,972842
"172",45113,849963
"173",45130,745331
"174",45140,991907
"175",45180,373844
"176",45190,264680
"177",45210,264392
"178",45710,313851
"179",45720,81557
"180",45730,89614
"181",45740,81680
"182",45750,101451
"183",45770,121364
"184",45790,230401
"185",45800,290061
"186",46110,697678
"187",46130,1334923
"188",46150,795288
"189",46170,454240
"190",46230,495551
"191",46710,199977
"192",46720,109178
"193",46730,94209
"194",46770,235335
"195",46780,156296
"196",46790,172428
"197",46800,152840
"198",46810,110707
"199",46820,391635
"200",46830,234847
"201",46840,345281
"202",46860,125867
"203",46870,285805
"204",46880,144365
"205",46890,210670
"206",46900,139013
"207",46910,136104
"208",47111,713557
"209",47113,902117
"210",47130,835064
"211",47150,416424
"212",47170,548512
"213",47190,1280555
"214",47210,419178
"215",47230,413832
"216",47250,325642
"217",47280,290492
"218",47290,813058
"219",47720,74732
"220",47730,149709
"221",47750,76063
"222",47760,43572
"223",47770,150039
"224",47820,146110
"225",47830,111037
"226",47840,141156
"227",47850,354405
"228",47900,142116
"229",47920,98881
"230",47930,157374
"231",47940,16348
"232",48121,850332
"233",48123,709492
"234",48125,601937
"235",48127,663847
"236",48129,708571
"237",48170,1170839
"238",48220,446227
"239",48240,313502
"240",48250,1622848
"241",48270,371103
"242",48310,695377
"243",48330,1177149
"244",48720,134639
"245",48730,246875
"246",48740,218539
"247",48820,196634
"248",48840,213425
"249",48850,205797
"250",48860,136278
"251",48870,144393
"252",48880,228410
"253",48890,179320
"254",49110,1394479
"255",49130,507179
"256",49710,103
"257",49720,92
