year,month,count
2018,1,36468
2018,2,32705
2018,3,38223
2018,4,41972
2018,5,48015
2018,6,50752
2018,7,55605
2018,8,50546
2018,9,41518
2018,10,41246
2018,11,36639
2018,12,35922
2019,1,37267
2019,2,32869
2019,3,36360
2019,4,39401
2019,5,47837
2019,6,44915
2019,7,53477
2019,8,55113
2019,9,45763
2019,10,42454
2019,11,37346
2019,12,35592
2020,1,34649
2020,2,32297
2020,3,36933
2020,4,38467
2020,5,48932
2020,6,53686
2020,7,46286
2020,8,50655
2020,9,44957
2020,10,38793
2020,11,35213
2020,12,35574
2021,1,32213
2021,2,31761
2021,3,38250
2021,4,40589
2021,5,41075
2021,6,47782
2021,7,50041
2021,8,46926
2021,9,42529
2021,10,40140
2021,11,34249
2021,12,33766
2022,1,32559
2022,2,30846
2022,3,32285
2022,4,38126
2022,5,41335
2022,6,42676
2022,7,45131
2022,8,46397
2022,9,39416
2022,10,33726
