날짜,발생건수
2019-01-01,13291236
2019-02-01,9732714
2019-03-01,13507392
2019-04-01,15768126
2019-05-01,14018617
2019-06-01,9926826
2019-07-01,9063903
2019-08-01,7853839
2019-09-01,11567518
2019-10-01,14349742
2019-11-01,15337779
2019-12-01,16985265
2020-01-01,15503983
2020-02-01,9847388
2020-03-01,5838626
2020-04-01,4620345
2020-05-01,5728535
2020-06-01,5592283
2020-07-01,5269602
2020-08-01,4252000
2020-09-01,5545096
2020-10-01,6254197
2020-11-01,7859050
2020-12-01,5480139
2021-01-01,3721690
2021-02-01,3702425
2021-03-01,6398072
2021-04-01,7651249
2021-05-01,6086051
2021-06-01,5184017
2021-07-01,4055940
2021-08-01,3369619
2021-09-01,5543495
2021-10-01,7464989
2021-11-01,9969591
2021-12-01,7558736
2022-01-01,7310010
2022-02-01,7606239
2022-03-01,11061444
2022-04-01,9286545
2022-05-01,7825634
2022-06-01,6696274
2022-07-01,7647906
2022-08-01,7257686
2022-09-01,8502626
2022-10-01,10049348
