날짜,발생건수
2019-01-01,1307735
2019-02-01,1129380
2019-03-01,1340479
2019-04-01,1430864
2019-05-01,1711094
2019-06-01,1559794
2019-07-01,1775922
2019-08-01,1804222
2019-09-01,1545645
2019-10-01,1485712
2019-11-01,1310555
2019-12-01,1277182
2020-01-01,1242228
2020-02-01,1143194
2020-03-01,1244355
2020-04-01,1359663
2020-05-01,1655822
2020-06-01,1755305
2020-07-01,1620770
2020-08-01,1671988
2020-09-01,1582891
2020-10-01,1372127
2020-11-01,1245613
2020-12-01,1236981
2021-01-01,1174085
2021-02-01,1125402
2021-03-01,1332448
2021-04-01,1415910
2021-05-01,1421209
2021-06-01,1613433
2021-07-01,1737149
2021-08-01,1618765
2021-09-01,1511576
2021-10-01,1454791
2021-11-01,1245337
2021-12-01,1218171
2022-01-01,1217167
2022-02-01,1087739
2022-03-01,1146939
2022-04-01,1358710
2022-05-01,1512424
2022-06-01,1436753
2022-07-01,1593705
2022-08-01,1559229
2022-09-01,1379402
2022-10-01,1224290
